title,url,thumbnail_url,channel,description,views,upload_time
Natti Natasha x El Alfa x Chimbala - Wow BB [Official Video],https://www.youtube.com/watch?v=UI3wwfg4rB0,,Natti Natasha,Suscríbete: https://bit.ly/NattiNatashaYT Natti Natasha x El Alfa x Chimbala - Wow BB [Official Video] Suscríbete al canal de Pina Records el sello disquero más importante del género...,6000000,2022-02-23
Explosions rock Ukraine as Putin announces military invasion,https://www.youtube.com/watch?v=guNR0Lw0HP0,,12 News,"Russian President Vladimir Putin on Thursday announced a military operation in Ukraine, claiming it’s intended to protect civilians. In a televised address, Putin said the action comes in...",3000000,2022-02-24
HERE I AM,https://www.youtube.com/watch?v=fbTIPEhIlvQ,,Jaiden Animations,scribbleshowdown.com https://jaidenanimations.com/,2500000,2022-02-25
This Streamer Thought he could Trap me...,https://www.youtube.com/watch?v=-6rcNWnJgUA,,rekrap2,"My friend thinks he can trap me, but I trapped him first. To those who read descriptions: I got invited to a tommyinnit vid. should come out in 9ish days. was pretty POG. Where I get my music:...",834000,2022-02-27
"Brawl Stars: Brawl Talk - Flying Brawler, Game Modes, and MORE!",https://www.youtube.com/watch?v=4oJ7gAdaU5A,,Brawl Stars,Download NOW!! ►► https://supr.cl/playbrawl Be a BRAWLER! Subscribe! ►► https://supr.cl/subscribe Follow our Brawl Stars Esports channel! ►► https://www.youtube.com/c/BrawlStarsEsports...,8100000,2022-02-27
I bought a wireless hotspot that makes me money,https://www.youtube.com/watch?v=MHcoJWtSP3g,,Stevie Sells,,1900000,2022-02-23
Theres SO Much Depth,https://www.youtube.com/watch?v=43SVfVzniAo,,Surfnboy Shorts,Theres SO Much Depth CREDIT- DANATHB #Shorts #YouTubeShorts #Short ► Submit Videos For Me To React to in our Discord- https://discord.gg/CCtqr3b﻿ Surfnboy's Socials ► ●Twitter-...,2500000,2022-02-26
The Beginner's Guide to Elden Ring,https://www.youtube.com/watch?v=NLdZ8Zex1cw,,VaatiVidya,"If you're not a beginner, then the most important section might be at 2:15, because I really want to stress the importance of Guard Counters and Super Armor in this game. ►Clothing Merch...",1000000,2022-02-26
"Giving Away $400,000 in Merch with Dream!",https://www.youtube.com/watch?v=wJtTRfFSnbc,,Beast Philanthropy,DM us at https://www.instagram.com/beastphilanthropy/ to send your merch so we can give it to people in need! I LOVE THESE PEOPLE FOR DONATING! https://www.youtube.com/c/dream https://www.youtube....,1400000,2022-02-27
Perks of getting your period (ft my mom),https://www.youtube.com/watch?v=SSQrPsQq_q4,,illymation,"finally, my mom is in a video!!! she did great :D ▶ LIVE ON TWITCH WEEKLY: http://twitch.tv/illymation ▶ THE TEAM: AUDIO EDITOR: Cory Halterman http://instagram.com/morningjoeaudio...",829000,2022-02-26
OUR NEW HOUSE TOUR! THE AGUILARS,https://www.youtube.com/watch?v=ab-iABqizV4,,The Aguilars,Shop Sebastian Aiden: https://sebastianaiden.com 2517 W Mcdowell Rd Suite 106 Phoenix Az 85009 https://www.instagram.com/sebastianaidenfashion/ Snapchat: Sebastianaidenn Shop Our Merch: https://Sh...,408000,2022-02-27
Covert Cavern HIDE AND SEEK in Fortnite Chapter 3!,https://www.youtube.com/watch?v=zgEgXROTfK8,,Nick Eh 30,100 player Hide and Seek in Fortnite Chapter 3 at Covert Canyon! 🪙 Support-A-Creator code: NickEh30 (Epic Partner) 🎮 Streamed live on Twitch ➔ https://www.Twitch.tv/NickEh30 ━━━━...,2400000,2022-02-21
Brewstew - 90's Toys,https://www.youtube.com/watch?v=c6NIttfmkoU,,brewstewfilms,No we're not going to talk about pogs. Stop bringing up pogs. Nobody liked pogs. Merch Store: https://teespring.com/stores/brewstew Special Thanks to the people that support me on Patreon!...,781000,2022-02-25
